z,mu_notebook,df,mu_jla
0.01,33.100246877491955,0.1458856521663457,32.953886976
0.012,33.49968750217927,0.16779607458400211,33.8790034661
0.014,33.83794517754364,0.07849893144361902,33.8421407403
0.016,34.13141801245638,0.07235392477654547,34.1185670426
0.019,34.509835915158476,0.08546064347891373,34.5934459829
0.023,34.93167001416576,0.05612508419138452,34.9390265264
0.026,35.20309232026351,0.06106826959690278,35.2520963261
0.031,35.59364007105988,0.05676394193517571,35.7485016537
0.037,35.98808257383827,0.05679556297722561,36.0697876073
0.043,36.32456696595692,0.07514307319187843,36.4345704737
0.051,36.70846912160689,0.09290133971595889,36.6511105942
0.06,37.076252666552165,0.06208918904769171,37.1580141133
0.07,37.42728638564429,0.06587933786757423,37.4301732516
0.082,37.79010953149388,0.05465045917620455,37.9566163488
0.097,38.17848066189011,0.059933662766595536,38.2532540406
0.114,38.55525316531825,0.037434095294397056,38.6128693372
0.134,38.936151005482216,0.03861411340352126,39.0678507056
0.158,39.32866792935196,0.03468858911890191,39.3414019038
0.186,39.72201340627326,0.032140254516104874,39.7921436157
0.218,40.10951972792779,0.03296163841422328,40.1565346033
0.257,40.516524120698605,0.03171977425802397,40.5649560582
0.302,40.920926597192064,0.03926215905843691,40.9052877824
0.355,41.331587375052344,0.033575768493662214,41.4214174356
0.418,41.75188253292271,0.041520654294098014,41.7909234574
0.491,42.17099198737699,0.03937127633656293,42.2314610669
0.578,42.60027596303382,0.03594528436693748,42.6170470706
0.679,43.02783399380451,0.06277784454988877,43.0527314851
0.799,43.46276442657161,0.05459143473540515,43.5041508283
0.94,43.89895759721916,0.06682760806163872,43.9725734093
1.105,44.33377432430099,0.15460363602418928,44.5140875789
1.3,44.770470563138346,0.13845222576975785,44.8218674621
